keyword,region,match_type,lb,ub,source,nn_keyword,nn_region,nn_match_type,nn_hist_min,nn_hist_max,cosine_sim,tier
advanced generative ai course,c,broad match,0.10308124573953883,1.8273493562918248,nearest_neighbor,generative ai foundations course,c,broad match,0.11,1.95,0.9371022339958076,same_region_and_match
advanced generative ai courses,usa,broad match,0.4118428777538168,3.922313121464922,nearest_neighbor,generative ai courses,usa,broad match,0.42,4.0,0.9805782803662305,same_region_and_match
advanced generative ai courses,usa,exact match,1.4806732033530081,26.514836701102872,nearest_neighbor,generative ai courses,usa,exact match,1.51,27.04,0.9805782803662305,same_region_and_match
advanced generative ai courses,usa,phrase match,1.8434871670885133,25.2596965022341,nearest_neighbor,generative ai courses,usa,phrase match,1.88,25.76,0.9805782803662305,same_region_and_match
advanced generative ai courses,a,broad match,0.24514457009155763,4.245903953985779,nearest_neighbor,generative ai courses,a,broad match,0.25,4.33,0.9805782803662305,same_region_and_match
advanced generative ai courses,a,exact match,1.1374708052248272,4.451825392862687,nearest_neighbor,generative ai courses,a,exact match,1.16,4.54,0.9805782803662305,same_region_and_match
advanced generative ai courses,a,phrase match,0.48048335737945297,11.198203961782353,nearest_neighbor,generative ai courses,a,phrase match,0.49,11.42,0.9805782803662305,same_region_and_match
advanced generative ai courses,b,broad match,0.12747517644760997,0.676599013452699,nearest_neighbor,generative ai courses,b,broad match,0.13,0.69,0.9805782803662305,same_region_and_match
advanced generative ai courses,b,exact match,0.4314544433611414,2.8142596646510816,nearest_neighbor,generative ai courses,b,exact match,0.44,2.87,0.9805782803662305,same_region_and_match
advanced generative ai courses,b,phrase match,0.2157272216805707,2.4906688321302255,nearest_neighbor,generative ai courses,b,phrase match,0.22,2.54,0.9805782803662305,same_region_and_match
advanced generative ai courses,c,broad match,0.10128594946062709,1.7955236495292985,nearest_neighbor,generative ai foundations course,c,broad match,0.11,1.95,0.9207813587329736,same_region_and_match
advanced generative ai courses,c,exact match,0.3235908325208561,2.0690201715727463,nearest_neighbor,generative ai courses,c,exact match,0.33,2.11,0.9805782803662305,same_region_and_match
advanced generative ai courses,c,phrase match,0.1961156560732461,5.353957410799619,nearest_neighbor,generative ai courses,c,phrase match,0.2,5.46,0.9805782803662305,same_region_and_match
ai and generative ai course,usa,broad match,0.49705165026974885,4.356511522952505,nearest_neighbor,generative ai course,usa,broad match,0.51,4.47,0.9746110789602919,same_region_and_match
ai and generative ai course,usa,phrase match,2.241605481608671,22.396562594507508,nearest_neighbor,generative ai course,usa,phrase match,2.3,22.98,0.9746110789602919,same_region_and_match
ai and generative ai course,c,broad match,0.10323752490280123,1.8301197596405672,nearest_neighbor,generative ai foundations course,c,broad match,0.11,1.95,0.9385229536618294,same_region_and_match
ai certificate,a,phrase match,0.9284632271482016,2.9073090951105307,nearest_neighbor,professional ai certificate,a,phrase match,0.99,3.1,0.9378416435840421,same_region_and_match
ai certificate,b,phrase match,0.5439481532787444,0.8440574792256379,nearest_neighbor,professional ai certificate,b,phrase match,0.58,0.9,0.9378416435840421,same_region_and_match
ai certificate course,a,phrase match,0.4081281883973896,9.665217552501819,nearest_neighbor,ai certification courses,a,phrase match,0.44,10.42,0.9275640645395219,same_region_and_match
ai certificate programs,a,broad match,0.321917002563706,18.484813147210698,nearest_neighbor,generative ai certificate program,a,broad match,0.38,21.82,0.8471500067465947,same_region_and_match
ai certificate programs,a,exact match,1.1605955092428348,14.198234113072928,nearest_neighbor,generative ai certificate program,a,exact match,1.37,16.76,0.8471500067465947,same_region_and_match
ai certificate programs,a,phrase match,0.865116153447773,2.7089495714021177,nearest_neighbor,professional ai certificate,a,phrase match,0.99,3.1,0.873854700452296,same_region_and_match
ai certificate programs,b,broad match,0.1270725010119892,4.184921033328178,nearest_neighbor,generative ai certificate program,b,broad match,0.15,4.94,0.8471500067465947,same_region_and_match
ai certificate programs,b,exact match,0.3101353877238163,0.9562507788151006,nearest_neighbor,ai related certifications,b,exact match,0.36,1.11,0.8614871881217121,same_region_and_match
ai certificate programs,b,phrase match,0.5068357262623316,0.7864692304070664,nearest_neighbor,professional ai certificate,b,phrase match,0.58,0.9,0.873854700452296,same_region_and_match
ai certificate programs,c,phrase match,0.10337846257460545,0.8614871881217121,nearest_neighbor,ai related certifications,c,phrase match,0.12,1.0,0.8614871881217121,same_region_and_match
