keyword,region,match_type,lb,ub,source,nn_keyword,nn_region,nn_match_type,nn_hist_min,nn_hist_max,cosine_sim,tier
adobe generative ai course,usa,broad match,0.48519511430293183,4.252592472419814,nearest_neighbor,generative ai course,usa,broad match,0.51,4.47,0.9513629692214349,same_region_and_match
adobe generative ai course,usa,phrase match,2.1881348292093,21.862321032708575,nearest_neighbor,generative ai course,usa,phrase match,2.3,22.98,0.9513629692214349,same_region_and_match
adobe generative ai course,a,broad match,0.3044361501508592,2.77797987012659,nearest_neighbor,generative ai course,a,broad match,0.32,2.92,0.9513629692214349,same_region_and_match
adobe generative ai course,b,broad match,0.1331908156910009,2.7113844622810896,nearest_neighbor,generative ai course,b,broad match,0.14,2.85,0.9513629692214349,same_region_and_match
adobe generative ai course,c,broad match,0.0999350918144132,1.771576627619143,nearest_neighbor,generative ai foundations course,c,broad match,0.11,1.95,0.9085008346764836,same_region_and_match
advanced generative ai course,usa,broad match,0.49932677321438457,4.376452306408429,nearest_neighbor,generative ai course,usa,broad match,0.51,4.47,0.9790721043419305,same_region_and_match
advanced generative ai course,usa,phrase match,2.25186583998644,22.499076957777564,nearest_neighbor,generative ai course,usa,phrase match,2.3,22.98,0.9790721043419305,same_region_and_match
advanced generative ai course,a,broad match,0.31330307338941776,2.8588905446784367,nearest_neighbor,generative ai course,a,broad match,0.32,2.92,0.9790721043419305,same_region_and_match
advanced generative ai course,b,broad match,0.13707009460787029,2.790355497374502,nearest_neighbor,generative ai course,b,broad match,0.14,2.85,0.9790721043419305,same_region_and_match
advanced generative ai course,c,broad match,0.10308125110873105,1.8273494514729594,nearest_neighbor,generative ai foundations course,c,broad match,0.11,1.95,0.9371022828066459,same_region_and_match
advanced generative ai courses,usa,broad match,0.41184289222294945,3.9223132592661853,nearest_neighbor,generative ai courses,usa,broad match,0.42,4.0,0.9805783148165463,same_region_and_match
advanced generative ai courses,usa,phrase match,1.843487231855107,25.259697389674237,nearest_neighbor,generative ai courses,usa,phrase match,1.88,25.76,0.9805783148165463,same_region_and_match
