keyword,region,match,bid,predicted_clicks,predicted_epc,conv_value,cost,profit,is_new_keyword,hist_min_cpc,hist_avg_cpc,hist_max_cpc,lambda
generative ai course roadmap,C,Broad match,0.10257625624085227,40.744542108369885,87.9804661768893,3584.723808858278,4.179422591724345,3580.544386266554,True,,,,10.0
generative ai course roadmap,C,Phrase match,0.12574187525339653,36.044243210869894,94.15034551096022,3393.5779519844828,4.532270733424287,3389.0456812510583,True,,,,10.0
generative ai course roadmap,C,Exact match,0.12574187525339653,35.49628033656989,85.87587497360313,3048.274132211243,4.463368854040563,3043.810763357202,True,,,,10.0
generative ai course roadmap,B,Broad match,0.20000000328796405,29.278695530869996,99.96534039809613,2926.854765155635,5.855739202441297,2920.9990259531937,True,,,,10.0
generative ai course roadmap,A,Broad match,0.30951846216224355,26.52268839152003,103.96831154178585,2757.5191296152616,8.209261723351668,2749.30986789191,True,,,,10.0
generative ai course roadmap,B,Exact match,0.20000000328796377,27.743116366570003,97.74304830049473,2711.696763023898,5.548623364532363,2706.1481396593654,True,,,,10.0
generative ai course syllabus,C,Broad match,0.10103024953946706,42.94889905723992,57.775318414927625,2481.3863186026215,4.33913798919833,2477.0471806134233,True,,,,10.0
generative ai course syllabus,C,Phrase match,0.12375447055494757,38.36033174674,63.942955074674046,2452.8729695313887,4.7472625456299555,2448.125706985759,True,,,,10.0
generative ai course skillsfuture,A,Broad match,0.3016737984012477,27.697501013100034,81.58652989422487,2259.7429944006094,8.355610336844293,2251.3873840637652,True,,,,10.0
generative ai course roadmap,B,Phrase match,0.09672451942569538,21.253552813869995,105.49279222445466,2242.096631025061,2.055739682010211,2240.0408913430506,True,,,,10.0
generative ai course skillsfuture,B,Exact match,0.2751412457217661,29.424664998649916,75.78290508917,2229.886594873309,8.095938982674188,2221.7906558906348,True,,,,10.0
generative ai course skillsfuture,C,Broad match,0.09811298951585319,33.232584163469866,65.61586487987024,2180.5847520791544,3.2605481816152277,2177.324203897539,True,,,,10.0
