Day,Keyword,Match type,Region,Avg. CPC,Cost,Conv. value,Clicks,day_of_week,is_weekend,month,is_public_holiday,days_to_next_course_start,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),last_month_searches,three_month_avg,six_month_avg,mom_change,search_trend,EPC,llm_relevance_score
2025-11-08,generative ai certificate course,Broad match,USA,1.02,9.18,600.0,9,Saturday,1,Nov,0,93,High,88.0,5.96,15.94,3.9318256327243257,4.042110380829989,4.152395128935653,0.0,-0.0756238272724548,66.66666666666667,5.0
2025-11-08,generative ai fundamentals course,Broad match,USA,1.17,3.51,0.0,3,Saturday,1,Nov,0,93,Medium,35.0,3.81,14.11,3.044522437723423,3.599933347231539,3.452049481398056,0.0,0.06986177891565143,0.0,4.0
2025-11-08,generative ai online course,Broad match,USA,1.13,3.3899999999999997,0.0,3,Saturday,1,Nov,0,93,High,67.0,5.0,13.97,3.9318256327243257,3.7658794899779324,4.000500581036048,-0.49783842823917945,-0.13020422876829868,0.0,4.0
2025-11-08,generative ai online program,Broad match,USA,1.22,12.2,200.0,10,Saturday,1,Nov,0,93,Missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0
2025-11-08,generative ai certificate program,Broad match,USA,1.1,2.2,200.0,2,Saturday,1,Nov,0,93,Missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,5.0
2025-11-08,generative ai foundations course,Broad match,USA,0.91,10.01,0.0,11,Saturday,1,Nov,0,93,Medium,33.0,0.0,0.0,2.3978952727983707,2.3978952727983707,2.3978952727983707,0.0,-1.7964293052139324e-16,0.0,4.0
2025-11-08,mit generative ai certificate,Broad match,USA,1.0,11.0,0.0,11,Saturday,1,Nov,0,93,High,71.0,6.18,13.07,2.3978952727983707,3.3041656155645724,3.1743440266439973,0.38946476676172326,0.06676538858772396,0.0,5.0
2025-11-08,generative ai certification online,Broad match,USA,1.4,4.199999999999999,0.0,3,Saturday,1,Nov,0,93,High,97.0,5.27,12.02,2.3978952727983707,1.598596848532247,1.998246060665309,-2.3978952727983707,-0.34255646754262425,0.0,4.0
2025-11-08,online course generative ai,Broad match,USA,1.58,7.9,0.0,5,Saturday,1,Nov,0,93,High,100.0,0.0,0.0,2.3978952727983707,2.3978952727983707,2.3978952727983707,0.0,-1.7964293052139324e-16,0.0,4.0
2025-11-08,professional ai certificate,Phrase match,USA,1.76,1.76,0.0,1,Saturday,1,Nov,0,93,High,93.0,5.68,15.38,3.4339872044851463,3.5271821585581997,2.670660697699399,0.2795848622191617,0.6304457398669595,0.0,5.0
2025-11-08,mit professional development,Broad match,A,1.36,1.36,0.0,1,Saturday,1,Nov,0,93,Medium,62.0,1.88,6.47,3.044522437723423,3.3041656155645724,3.4156738870613856,0.0,-0.0510682593673578,0.0,4.0
2025-11-08,generative ai course,Broad match,A,0.43,1.29,0.0,3,Saturday,1,Nov,0,93,High,80.0,4.81,13.33,6.78105762593618,7.501554805740729,7.564762616403382,-0.612752117708748,-0.06752128078129402,0.0,4.0
2025-11-08,generative ai courses,Broad match,A,0.74,2.2199999999999998,0.0,3,Saturday,1,Nov,0,93,High,80.0,4.81,13.33,6.78105762593618,7.501554805740729,7.564762616403382,-0.612752117708748,-0.06752128078129402,0.0,4.0
2025-11-08,online ai and ml courses,Phrase match,A,1.62,4.86,200.0,3,Saturday,1,Nov,0,93,Medium,51.0,4.64,14.89,2.3978952727983707,2.3978952727983707,2.613437661106721,0.0,-0.11085037113000873,66.66666666666667,4.0
2025-11-08,generative ai certificate course,Broad match,A,1.06,6.36,0.0,6,Saturday,1,Nov,0,93,High,88.0,5.96,15.94,3.9318256327243257,4.042110380829989,4.152395128935653,0.0,-0.0756238272724548,0.0,5.0
2025-11-08,generative ai online course,Broad match,A,0.46,0.46,0.0,1,Saturday,1,Nov,0,93,High,67.0,5.0,13.97,3.9318256327243257,3.7658794899779324,4.000500581036048,-0.49783842823917945,-0.13020422876829868,0.0,4.0
2025-11-08,generative ai online program,Broad match,A,0.83,19.919999999999998,0.0,24,Saturday,1,Nov,0,93,Missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2025-11-08,generative ai foundations course,Broad match,A,0.47,0.47,0.0,1,Saturday,1,Nov,0,93,Medium,33.0,0.0,0.0,2.3978952727983707,2.3978952727983707,2.3978952727983707,0.0,-1.7964293052139324e-16,0.0,4.0
2025-11-08,online course generative ai,Broad match,A,0.97,1.94,0.0,2,Saturday,1,Nov,0,93,High,100.0,0.0,0.0,2.3978952727983707,2.3978952727983707,2.3978952727983707,0.0,-1.7964293052139324e-16,0.0,4.0
2025-11-08,mit professional development,Broad match,B,0.4,0.4,0.0,1,Saturday,1,Nov,0,93,Medium,62.0,1.88,6.47,3.044522437723423,3.3041656155645724,3.4156738870613856,0.0,-0.0510682593673578,0.0,4.0
2025-11-08,generative ai course,Broad match,B,0.27,0.27,0.0,1,Saturday,1,Nov,0,93,High,80.0,4.81,13.33,6.78105762593618,7.501554805740729,7.564762616403382,-0.612752117708748,-0.06752128078129402,0.0,4.0
2025-11-08,generative ai courses,Broad match,B,0.14,0.14,0.0,1,Saturday,1,Nov,0,93,High,80.0,4.81,13.33,6.78105762593618,7.501554805740729,7.564762616403382,-0.612752117708748,-0.06752128078129402,0.0,4.0
2025-11-08,online ai and ml courses,Phrase match,B,0.38,1.1400000000000001,0.0,3,Saturday,1,Nov,0,93,Medium,51.0,4.64,14.89,2.3978952727983707,2.3978952727983707,2.613437661106721,0.0,-0.11085037113000873,0.0,4.0
2025-11-08,generative ai online course,Broad match,B,0.29,0.58,0.0,2,Saturday,1,Nov,0,93,High,67.0,5.0,13.97,3.9318256327243257,3.7658794899779324,4.000500581036048,-0.49783842823917945,-0.13020422876829868,0.0,4.0
2025-11-08,generative ai online program,Broad match,B,0.26,0.26,0.0,1,Saturday,1,Nov,0,93,Missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2025-11-08,generative ai certificate program,Broad match,B,0.32,0.32,0.0,1,Saturday,1,Nov,0,93,Missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2025-11-08,mit generative ai certificate,Broad match,B,0.17,0.17,0.0,1,Saturday,1,Nov,0,93,High,71.0,6.18,13.07,2.3978952727983707,3.3041656155645724,3.1743440266439973,0.38946476676172326,0.06676538858772396,0.0,5.0
2025-11-08,generative ai certification online,Broad match,B,0.41,1.23,0.0,3,Saturday,1,Nov,0,93,High,97.0,5.27,12.02,2.3978952727983707,1.598596848532247,1.998246060665309,-2.3978952727983707,-0.34255646754262425,0.0,4.0
2025-11-08,online course generative ai,Broad match,B,0.4,10.4,600.0,26,Saturday,1,Nov,0,93,High,100.0,0.0,0.0,2.3978952727983707,2.3978952727983707,2.3978952727983707,0.0,-1.7964293052139324e-16,23.076923076923077,4.0
2025-11-08,mit ai course,Phrase match,USA,1.53,6.12,0.0,4,Saturday,1,Nov,0,93,High,83.0,6.68,24.85,7.783640596221253,7.918749352030461,7.882723338775882,0.0,0.006175887986499087,0.0,5.0
2025-11-08,stanford ai professional program,Phrase match,USA,1.39,1.39,0.0,1,Saturday,1,Nov,0,93,Medium,56.0,3.13,9.16,6.175867270105761,6.514364763991999,6.4469027861288,0.19882311987885082,0.04605605260843592,0.0,5.0
2025-11-09,mit professional development,Broad match,USA,1.25,46.25,200.0,37,Sunday,1,Nov,0,92,Medium,62.0,1.88,6.47,3.044522437723423,3.3041656155645724,3.4156738870613856,0.0,-0.0510682593673578,5.405405405405405,4.0
2025-11-09,generative ai course,Broad match,USA,1.24,6.2,0.0,5,Sunday,1,Nov,0,92,High,80.0,4.81,13.33,6.78105762593618,7.501554805740729,7.564762616403382,-0.612752117708748,-0.06752128078129402,0.0,4.0
2025-11-09,generative ai courses,Broad match,USA,2.54,2.54,0.0,1,Sunday,1,Nov,0,92,High,80.0,4.81,13.33,6.78105762593618,7.501554805740729,7.564762616403382,-0.612752117708748,-0.06752128078129402,0.0,4.0
2025-11-09,generative ai online course,Broad match,USA,0.72,0.72,0.0,1,Sunday,1,Nov,0,92,High,67.0,5.0,13.97,3.9318256327243257,3.7658794899779324,4.000500581036048,-0.49783842823917945,-0.13020422876829868,0.0,4.0
2025-11-09,online ai and ml courses,Phrase match,USA,1.02,13.26,400.0,13,Sunday,1,Nov,0,92,Medium,51.0,4.64,14.89,2.3978952727983707,2.3978952727983707,2.613437661106721,0.0,-0.11085037113000873,30.76923076923077,4.0
2025-11-09,mit xpro ai,Broad match,USA,1.17,90.08999999999999,800.0,77,Sunday,1,Nov,0,92,High,80.0,5.35,22.88,4.2626798770413155,4.428132963358339,4.290264046146995,0.2481796294755343,0.0709040145658335,10.38961038961039,5.0
2025-11-09,mit artificial intelligence course,Phrase match,USA,0.97,5.82,0.0,6,Sunday,1,Nov,0,92,High,80.0,6.34,22.72,4.51085950651685,4.723049866069117,4.835904878223643,0.19867069479548416,-0.07170998848323218,0.0,3.0
2025-11-09,generative ai certificate course,Broad match,USA,1.26,32.76,200.0,26,Sunday,1,Nov,0,92,High,88.0,5.96,15.94,3.9318256327243257,4.042110380829989,4.152395128935653,0.0,-0.0756238272724548,7.6923076923076925,5.0
2025-11-09,generative ai fundamentals course,Broad match,USA,1.04,3.12,0.0,3,Sunday,1,Nov,0,92,Medium,35.0,3.81,14.11,3.044522437723423,3.599933347231539,3.452049481398056,0.0,0.06986177891565143,0.0,4.0
2025-11-09,generative ai online course,Broad match,USA,0.67,2.68,0.0,4,Sunday,1,Nov,0,92,High,67.0,5.0,13.97,3.9318256327243257,3.7658794899779324,4.000500581036048,-0.49783842823917945,-0.13020422876829868,0.0,4.0
2025-11-09,generative ai online program,Broad match,USA,1.44,5.76,0.0,4,Sunday,1,Nov,0,92,Missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2025-11-09,generative ai certificate program,Broad match,USA,1.06,4.24,0.0,4,Sunday,1,Nov,0,92,Missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2025-11-09,generative ai foundations course,Broad match,USA,1.2,15.6,0.0,13,Sunday,1,Nov,0,92,Medium,33.0,0.0,0.0,2.3978952727983707,2.3978952727983707,2.3978952727983707,0.0,-1.7964293052139324e-16,0.0,4.0
2025-11-09,mit generative ai certificate,Broad match,USA,1.07,9.63,200.0,9,Sunday,1,Nov,0,92,High,71.0,6.18,13.07,2.3978952727983707,3.3041656155645724,3.1743440266439973,0.38946476676172326,0.06676538858772396,22.22222222222222,5.0
2025-11-09,online course generative ai,Broad match,USA,3.37,6.74,400.0,2,Sunday,1,Nov,0,92,High,100.0,0.0,0.0,2.3978952727983707,2.3978952727983707,2.3978952727983707,0.0,-1.7964293052139324e-16,200.0,4.0
2025-11-09,professional certificate in ai,Phrase match,USA,0.9,0.9,0.0,1,Sunday,1,Nov,0,92,High,89.0,5.51,20.09,3.4339872044851463,3.673591460489682,3.646984286560468,-0.6690496289808849,-0.05592530708314075,0.0,5.0
