Day,Keyword,Match type,Region,Cost,Clicks,day_of_week,is_weekend,month,is_public_holiday,days_to_next_course_start,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),last_month_searches,three_month_avg,six_month_avg,mom_change,search_trend,llm_relevance_score
2022-06-10,university undergraduate courses,Phrase match,A,0.46,1,Friday,0,Jun,0,108,Low,14.0,0.0,0.0,2.3978952727983707,2.613437661106721,2.527220705783381,0.0,1.621584518530165e-16,4
2022-06-10,engineering study,Phrase match,A,1.13,1,Friday,0,Jun,0,108,Low,23.0,4.71,15.24,5.771441123130016,5.702467551194242,5.769510267339621,0.20692071580732208,-0.06014535895180163,3
2022-06-10,modern enterprise architecture,Broad match,A,1.28,1,Friday,0,Jun,0,108,Low,32.0,5.39,13.34,3.4339872044851463,3.6203771126312545,3.5458211493728107,0.2795848622191617,0.05591697244383218,3
2022-06-10,mbse training,Broad match,A,1.81,1,Friday,0,Jun,0,108,Medium,61.0,2.59,7.15,3.9318256327243257,4.643306636380506,4.514255148635636,-0.19867069479548416,0.11580677475850455,4
2022-06-10,msc engineering,Broad match,A,3.99,2,Friday,0,Jun,0,108,Low,6.0,3.98,16.2,5.14166355650266,5.564520407322694,5.479455497784043,0.0,0.06379868215398798,3
2022-06-10,mit systems engineering,Exact match,A,0.9,1,Friday,0,Jun,0,108,Medium,46.0,2.69,10.75,5.351858133476067,5.493632982707151,5.520839640945507,-0.21266227384662706,-0.06265037054612699,4
2022-06-10,mit systems engineering masters,Broad match,A,1.12,1,Friday,0,Jun,0,108,Medium,60.0,4.27,17.3,3.713572066704308,2.828980049415072,2.9930899580907573,0.6466271649250523,-0.14255566984485002,5
2022-06-10,mit architecture and systems engineering,Exact match,A,0.21,1,Friday,0,Jun,0,108,Medium,49.0,2.51,15.17,3.044522437723423,3.3973605696376254,3.3900352426681217,-0.38946476676172326,-0.09486344912000493,4
2022-06-10,mit systems engineering,Broad match,B,0.17,1,Friday,0,Jun,0,108,Medium,46.0,2.69,10.75,5.351858133476067,5.493632982707151,5.520839640945507,-0.21266227384662706,-0.06265037054612699,4
2022-06-10,mit systems engineering,Exact match,B,1.06,1,Friday,0,Jun,0,108,Medium,46.0,2.69,10.75,5.351858133476067,5.493632982707151,5.520839640945507,-0.21266227384662706,-0.06265037054612699,4
2022-06-10,mit online,Broad match,B,1.13,5,Friday,0,Jun,0,108,Medium,54.0,2.89,9.12,6.3818160174060985,6.781057625936181,6.806597056611987,0.0,-0.025539430675808113,4
2022-06-10,mit ocw courses,Broad match,B,1.82,4,Friday,0,Jun,0,108,Low,8.0,2.64,9.19,10.407318772389159,10.007892611890918,10.047779270823932,0.0,-0.039886658933015844,4
2022-06-10,.mit courses,Broad match,B,0.8,2,Friday,0,Jun,0,108,Low,20.0,2.31,6.74,7.972810784121404,7.972810784121404,8.097116507415702,0.0,-0.12430572329429838,5
2022-06-10,embedded systems,Broad match,USA,3.6,1,Friday,0,Jun,0,108,Low,6.0,1.88,10.84,8.999742789830492,9.133508290691841,9.160261390864111,-0.2006482512920229,-0.04012965025840366,3
2022-06-10,mit systems engineering,Exact match,USA,1.73,1,Friday,0,Jun,0,108,Medium,46.0,2.69,10.75,5.351858133476067,5.493632982707151,5.520839640945507,-0.21266227384662706,-0.06265037054612699,4
2022-06-10,mit xpro systems engineering,Exact match,USA,1.68,1,Friday,0,Jun,0,108,Medium,53.0,4.25,18.02,3.044522437723423,3.96935919215665,4.020516617247118,0.21825356602001778,-0.08799620546539967,5
2022-06-10,mitx systems engineering,Exact match,USA,2.43,1,Friday,0,Jun,0,108,Medium,57.0,2.37,12.98,2.3978952727983707,2.613437661106721,2.6565461387683915,0.0,-0.1293254329850105,5
2022-06-10,mbse training,Exact match,USA,1.49,1,Friday,0,Jun,0,108,Medium,61.0,2.59,7.15,3.9318256327243257,4.643306636380506,4.514255148635636,-0.19867069479548416,0.11580677475850455,4
2022-06-10,system engineering training,Exact match,USA,1.54,1,Friday,0,Jun,0,108,High,77.0,2.84,9.17,3.9318256327243257,5.281793274484932,5.10073398302906,0.21019457697340638,0.12383298413861227,4
2022-06-10,systems engineering certificate online,Exact match,USA,1.56,1,Friday,0,Jun,0,108,High,82.0,4.15,11.06,3.4339872044851463,4.8690166606895575,4.8052220769386675,0.23922968906583453,0.04784593781316728,4
2022-06-11,electrical engineering degree,Broad match,A,4.94,3,Saturday,1,Jun,0,107,Medium,51.0,4.08,26.03,8.38958706681109,8.188966863648876,8.145735647743383,0.0,0.02161560795274698,5
2022-06-11,electrical engineering program,Broad match,A,1.81,2,Saturday,1,Jun,0,107,Medium,59.0,4.24,23.27,4.948759890378168,4.948759890378168,4.853068014751836,0.0,0.07176890671975045,5
2022-06-11,electrical engineering programs,Broad match,A,4.69,2,Saturday,1,Jun,0,107,Medium,59.0,4.24,23.27,4.948759890378168,4.948759890378168,4.853068014751836,0.0,0.07176890671975045,4
2022-06-11,online computer engineering degree,Broad match,A,1.06,1,Saturday,1,Jun,0,107,High,73.0,9.89,55.0,6.78105762593618,6.90875477931522,6.883215348639412,0.0,0.012769715337903408,4
2022-06-11,university degree courses,Phrase match,A,1.53,2,Saturday,1,Jun,0,107,Low,27.0,4.31,18.99,5.14166355650266,5.837196602081799,5.728126124178156,-0.19726643685535006,0.08180285842773172,4
2022-06-11,courses at university,Phrase match,A,15.0,10,Saturday,1,Jun,0,107,Low,25.0,2.59,12.46,6.175867270105761,6.3818160174060985,6.340626267946031,0.0,0.020594874730033918,4
2022-06-11,university undergraduate courses,Phrase match,A,1.41,1,Saturday,1,Jun,0,107,Low,14.0,0.0,0.0,2.3978952727983707,2.613437661106721,2.527220705783381,0.0,1.621584518530165e-16,4
2022-06-11,electrical university,Broad match,A,0.64,1,Saturday,1,Jun,0,107,High,84.0,1.21,32.23,4.51085950651685,4.789273431000946,4.628271935312201,0.0,0.08441917138619903,5
2022-06-11,all university courses,Phrase match,A,0.99,1,Saturday,1,Jun,0,107,Low,32.0,1.47,5.8,2.3978952727983707,2.3978952727983707,2.3978952727983707,0.0,8.107922592650825e-17,4
2022-06-11,access to engineering course,Phrase match,A,1.01,1,Saturday,1,Jun,0,107,Low,14.0,0.0,0.0,2.3978952727983707,0.7992984242661235,0.47957905455967414,-2.3978952727983707,0.2397895272798371,4
2022-06-11,online engineering degree courses,Exact match,A,0.8,1,Saturday,1,Jun,0,107,Low,21.0,0.0,0.0,2.3978952727983707,2.3978952727983707,2.3978952727983707,0.0,8.107922592650825e-17,5
2022-06-11,system engineering education,Broad match,A,4.83,3,Saturday,1,Jun,0,107,Medium,50.0,3.75,9.14,3.044522437723423,3.7658794899779324,3.7326902614286537,0.49783842823917945,0.0,4
2022-06-11,engineering study,Phrase match,A,3.57,3,Saturday,1,Jun,0,107,Low,23.0,4.71,15.24,5.771441123130016,5.702467551194242,5.769510267339621,0.20692071580732208,-0.06014535895180163,3
2022-06-11,cloud computing architecture,Broad match,A,4.26,3,Saturday,1,Jun,0,107,Low,23.0,3.56,10.82,5.351858133476067,6.690542807552499,6.646581339445478,-0.3992416085300814,-0.019722775110647326,3
2022-06-11,mechatronic systems engineering,Broad match,A,2.81,1,Saturday,1,Jun,0,107,Low,1.0,0.0,0.0,2.3978952727983707,3.6203771126312545,3.6017381218166435,-0.2795848622191617,-0.027958486221916174,3
2022-06-11,computer systems engineering,Broad match,A,1.38,1,Saturday,1,Jun,0,107,Low,9.0,4.09,16.17,6.78105762593618,6.866189061522206,6.883215348639412,-0.12769715337904053,-0.025539430675808113,3
